"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.taaf.fr/185.31.40.229","443","INFO","HTTP","",""
"pre_128cipher","www.taaf.fr/185.31.40.229","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.taaf.fr/185.31.40.229","443","OK","not offered","",""
"SSLv3","www.taaf.fr/185.31.40.229","443","OK","not offered","",""
"TLS1","www.taaf.fr/185.31.40.229","443","INFO","not offered","",""
"TLS1_1","www.taaf.fr/185.31.40.229","443","INFO","not offered","",""
"TLS1_2","www.taaf.fr/185.31.40.229","443","OK","offered","",""
"TLS1_3","www.taaf.fr/185.31.40.229","443","OK","offered with final","",""
"ALPN_HTTP2","www.taaf.fr/185.31.40.229","443","OK","h2","",""
"ALPN","www.taaf.fr/185.31.40.229","443","INFO","http/1.1","",""
"cipherlist_NULL","www.taaf.fr/185.31.40.229","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.taaf.fr/185.31.40.229","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.taaf.fr/185.31.40.229","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.taaf.fr/185.31.40.229","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.taaf.fr/185.31.40.229","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.taaf.fr/185.31.40.229","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.taaf.fr/185.31.40.229","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.taaf.fr/185.31.40.229","443","OK","offered","",""
"cipher_order-tls1_2","www.taaf.fr/185.31.40.229","443","OK","server","",""
"cipherorder_TLSv1_2","www.taaf.fr/185.31.40.229","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.taaf.fr/185.31.40.229","443","OK","server","",""
"FS","www.taaf.fr/185.31.40.229","443","OK","offered","",""
"FS_ciphers","www.taaf.fr/185.31.40.229","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","www.taaf.fr/185.31.40.229","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","www.taaf.fr/185.31.40.229","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.taaf.fr/185.31.40.229","443","INFO","'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.taaf.fr/185.31.40.229","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","www.taaf.fr/185.31.40.229","443","INFO","yes","",""
"sessionresumption_ticket","www.taaf.fr/185.31.40.229","443","INFO","supported","",""
"sessionresumption_ID","www.taaf.fr/185.31.40.229","443","INFO","not supported","",""
"TLS_timestamp","www.taaf.fr/185.31.40.229","443","INFO","random","",""
"certificate_compression","www.taaf.fr/185.31.40.229","443","INFO","none","",""
"clientAuth","www.taaf.fr/185.31.40.229","443","INFO","none","",""
"cert_numbers","www.taaf.fr/185.31.40.229","443","INFO","1","",""
"cert_signatureAlgorithm","www.taaf.fr/185.31.40.229","443","OK","SHA256 with RSA","",""
"cert_keySize","www.taaf.fr/185.31.40.229","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.taaf.fr/185.31.40.229","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.taaf.fr/185.31.40.229","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.taaf.fr/185.31.40.229","443","INFO","05AAEDCCCC37DBEE21A71D273147A637C4CD","",""
"cert_serialNumberLen","www.taaf.fr/185.31.40.229","443","INFO","18","",""
"cert_fingerprintSHA1","www.taaf.fr/185.31.40.229","443","INFO","DA335BD33E69A9A453EBC89D6C5C7510D4334BE6","",""
"cert_fingerprintSHA256","www.taaf.fr/185.31.40.229","443","INFO","26BECF5F2DE2DAF5C19A459CA7DF6F0DC07B619204B9A4C8238EFECA899A5B16","",""
