"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.seine-et-marne.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","www.seine-et-marne.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.seine-et-marne.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","www.seine-et-marne.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","www.seine-et-marne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","www.seine-et-marne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","www.seine-et-marne.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","www.seine-et-marne.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN_HTTP2","www.seine-et-marne.gouv.fr/77.159.252.140","443","OK","h2","",""
"ALPN","www.seine-et-marne.gouv.fr/77.159.252.140","443","INFO","http/1.1","",""
"cipherlist_NULL","www.seine-et-marne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.seine-et-marne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.seine-et-marne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.seine-et-marne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.seine-et-marne.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.seine-et-marne.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.seine-et-marne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.seine-et-marne.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","www.seine-et-marne.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","www.seine-et-marne.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.seine-et-marne.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","www.seine-et-marne.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","www.seine-et-marne.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.seine-et-marne.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.seine-et-marne.gouv.fr/77.159.252.140","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.seine-et-marne.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.seine-et-marne.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","www.seine-et-marne.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","www.seine-et-marne.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","www.seine-et-marne.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","www.seine-et-marne.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","www.seine-et-marne.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","www.seine-et-marne.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","www.seine-et-marne.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","www.seine-et-marne.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.seine-et-marne.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.seine-et-marne.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.seine-et-marne.gouv.fr/77.159.252.140","443","INFO","4D168B2F168C7503D1D50EE8E1FEB020","",""
"cert_serialNumberLen","www.seine-et-marne.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","www.seine-et-marne.gouv.fr/77.159.252.140","443","INFO","F0B775063834550A9FE1E778F8695E83D0A1A0D0","",""
"cert_fingerprintSHA256","www.seine-et-marne.gouv.fr/77.159.252.140","443","INFO","0B7CB5250DBB49DBBAEA32DD6381787956D40C96C76DBB70D8D18185D0DD9567","",""
