"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.doubs.gouv.fr/77.159.252.140","443","DEBUG","Couldn't determine service, skipping all HTTP checks","",""
"pre_128cipher","www.doubs.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.doubs.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","www.doubs.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","www.doubs.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","www.doubs.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","www.doubs.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","www.doubs.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN_HTTP2","www.doubs.gouv.fr/77.159.252.140","443","OK","h2","",""
"ALPN","www.doubs.gouv.fr/77.159.252.140","443","INFO","http/1.1","",""
"cipherlist_NULL","www.doubs.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.doubs.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.doubs.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.doubs.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.doubs.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.doubs.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.doubs.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.doubs.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","www.doubs.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","www.doubs.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.doubs.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","www.doubs.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","www.doubs.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","www.doubs.gouv.fr/77.159.252.140","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","www.doubs.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.doubs.gouv.fr/77.159.252.140","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.doubs.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.doubs.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","www.doubs.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","www.doubs.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","www.doubs.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","www.doubs.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","www.doubs.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","www.doubs.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","www.doubs.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","www.doubs.gouv.fr/77.159.252.140","443","OK","RSA 3072 bits (exponent is 65537)","",""
"cert_keyUsage","www.doubs.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.doubs.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.doubs.gouv.fr/77.159.252.140","443","INFO","6BB26582EE226638769AC7E3F31FE206","",""
"cert_serialNumberLen","www.doubs.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","www.doubs.gouv.fr/77.159.252.140","443","INFO","0905BA73BB4CEE1D8916C80B41EAC4A5509C84CB","",""
