"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.meuse.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","www.meuse.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.meuse.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","www.meuse.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","www.meuse.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","www.meuse.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","www.meuse.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","www.meuse.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN_HTTP2","www.meuse.gouv.fr/77.159.252.140","443","OK","h2","",""
"ALPN","www.meuse.gouv.fr/77.159.252.140","443","INFO","http/1.1","",""
"cipherlist_NULL","www.meuse.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.meuse.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.meuse.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.meuse.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.meuse.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.meuse.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.meuse.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.meuse.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","www.meuse.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","www.meuse.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.meuse.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","www.meuse.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","www.meuse.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","www.meuse.gouv.fr/77.159.252.140","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","www.meuse.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.meuse.gouv.fr/77.159.252.140","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.meuse.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.meuse.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","www.meuse.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","www.meuse.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","www.meuse.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","www.meuse.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","www.meuse.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","www.meuse.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","www.meuse.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","www.meuse.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.meuse.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.meuse.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.meuse.gouv.fr/77.159.252.140","443","INFO","968925AE0F736C7FBCD81FDAFA155B8D","",""
"cert_serialNumberLen","www.meuse.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","www.meuse.gouv.fr/77.159.252.140","443","INFO","331B7B135FF861339AE215DC5A53F2C9A85EEC95","",""
"cert_fingerprintSHA256","www.meuse.gouv.fr/77.159.252.140","443","INFO","492CA5118733B65EEB1907FFE1DECB06028AAA73A72FE2FDB18833069A2D1AE9","",""
