"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.inscriptionelectorale.service-public.fr/185.231.164.7","443","INFO","HTTP","",""
"pre_128cipher","www.inscriptionelectorale.service-public.fr/185.231.164.7","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.inscriptionelectorale.service-public.fr/185.231.164.7","443","OK","not offered","",""
"SSLv3","www.inscriptionelectorale.service-public.fr/185.231.164.7","443","OK","not offered","",""
"TLS1","www.inscriptionelectorale.service-public.fr/185.231.164.7","443","INFO","not offered","",""
"TLS1_1","www.inscriptionelectorale.service-public.fr/185.231.164.7","443","INFO","not offered","",""
"TLS1_2","www.inscriptionelectorale.service-public.fr/185.231.164.7","443","OK","offered","",""
"TLS1_3","www.inscriptionelectorale.service-public.fr/185.231.164.7","443","OK","offered with final","",""
"ALPN_HTTP2","www.inscriptionelectorale.service-public.fr/185.231.164.7","443","OK","h2","",""
"ALPN","www.inscriptionelectorale.service-public.fr/185.231.164.7","443","INFO","http/1.1","",""
"cipherlist_NULL","www.inscriptionelectorale.service-public.fr/185.231.164.7","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.inscriptionelectorale.service-public.fr/185.231.164.7","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.inscriptionelectorale.service-public.fr/185.231.164.7","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.inscriptionelectorale.service-public.fr/185.231.164.7","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.inscriptionelectorale.service-public.fr/185.231.164.7","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.inscriptionelectorale.service-public.fr/185.231.164.7","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.inscriptionelectorale.service-public.fr/185.231.164.7","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.inscriptionelectorale.service-public.fr/185.231.164.7","443","OK","offered","",""
"cipher_order-tls1_2","www.inscriptionelectorale.service-public.fr/185.231.164.7","443","OK","server","",""
"cipherorder_TLSv1_2","www.inscriptionelectorale.service-public.fr/185.231.164.7","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.inscriptionelectorale.service-public.fr/185.231.164.7","443","OK","server","",""
"FS","www.inscriptionelectorale.service-public.fr/185.231.164.7","443","OK","offered","",""
"FS_ciphers","www.inscriptionelectorale.service-public.fr/185.231.164.7","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.inscriptionelectorale.service-public.fr/185.231.164.7","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.inscriptionelectorale.service-public.fr/185.231.164.7","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.inscriptionelectorale.service-public.fr/185.231.164.7","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.inscriptionelectorale.service-public.fr/185.231.164.7","443","INFO","yes","",""
"sessionresumption_ticket","www.inscriptionelectorale.service-public.fr/185.231.164.7","443","INFO","not supported","",""
"sessionresumption_ID","www.inscriptionelectorale.service-public.fr/185.231.164.7","443","INFO","not supported","",""
"TLS_timestamp","www.inscriptionelectorale.service-public.fr/185.231.164.7","443","INFO","random","",""
"certificate_compression","www.inscriptionelectorale.service-public.fr/185.231.164.7","443","INFO","none","",""
"clientAuth","www.inscriptionelectorale.service-public.fr/185.231.164.7","443","INFO","none","",""
"cert_numbers","www.inscriptionelectorale.service-public.fr/185.231.164.7","443","INFO","1","",""
"cert_signatureAlgorithm","www.inscriptionelectorale.service-public.fr/185.231.164.7","443","OK","SHA256 with RSA","",""
"cert_keySize","www.inscriptionelectorale.service-public.fr/185.231.164.7","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.inscriptionelectorale.service-public.fr/185.231.164.7","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.inscriptionelectorale.service-public.fr/185.231.164.7","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.inscriptionelectorale.service-public.fr/185.231.164.7","443","INFO","25BE1BDA688B527357336D3CC0A998E0","",""
"cert_serialNumberLen","www.inscriptionelectorale.service-public.fr/185.231.164.7","443","INFO","16","",""
"cert_fingerprintSHA1","www.inscriptionelectorale.service-public.fr/185.231.164.7","443","INFO","9A2754034EF393B9D54844A7FA21E6F600A4A2D8","",""
"cert_fingerprintSHA256","www.inscriptionelectorale.service-public.fr/185.231.164.7","443","INFO","0C25FFD9438F07E04C4C07A9C537D9BB50B24F370CABCA4BCAC36FA56CD8F507","",""
