"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.eure-et-loir.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","www.eure-et-loir.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.eure-et-loir.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","www.eure-et-loir.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","www.eure-et-loir.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","www.eure-et-loir.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","www.eure-et-loir.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","www.eure-et-loir.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN_HTTP2","www.eure-et-loir.gouv.fr/77.159.252.140","443","OK","h2","",""
"ALPN","www.eure-et-loir.gouv.fr/77.159.252.140","443","INFO","http/1.1","",""
"cipherlist_NULL","www.eure-et-loir.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.eure-et-loir.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.eure-et-loir.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.eure-et-loir.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.eure-et-loir.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.eure-et-loir.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.eure-et-loir.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.eure-et-loir.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","www.eure-et-loir.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","www.eure-et-loir.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.eure-et-loir.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","www.eure-et-loir.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","www.eure-et-loir.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","www.eure-et-loir.gouv.fr/77.159.252.140","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","www.eure-et-loir.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.eure-et-loir.gouv.fr/77.159.252.140","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.eure-et-loir.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.eure-et-loir.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","www.eure-et-loir.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","www.eure-et-loir.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","www.eure-et-loir.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","www.eure-et-loir.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","www.eure-et-loir.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","www.eure-et-loir.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","www.eure-et-loir.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","www.eure-et-loir.gouv.fr/77.159.252.140","443","OK","RSA 4096 bits (exponent is 65537)","",""
"cert_keyUsage","www.eure-et-loir.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.eure-et-loir.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.eure-et-loir.gouv.fr/77.159.252.140","443","INFO","2061F497349A893E9ECC5CD8BEAA80EF","",""
"cert_serialNumberLen","www.eure-et-loir.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","www.eure-et-loir.gouv.fr/77.159.252.140","443","INFO","90198A9DD7F4FCC7455E97982BA6577E485FE0B4","",""
"cert_fingerprintSHA256","www.eure-et-loir.gouv.fr/77.159.252.140","443","INFO","5B19EE99A6011B79904BF48DEE044456C25C058B6E47DC99EEBA68473C56B60F","",""
