"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.martinique.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","www.martinique.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.martinique.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","www.martinique.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","www.martinique.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","www.martinique.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","www.martinique.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","www.martinique.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN_HTTP2","www.martinique.gouv.fr/77.159.252.140","443","OK","h2","",""
"ALPN","www.martinique.gouv.fr/77.159.252.140","443","INFO","http/1.1","",""
"cipherlist_NULL","www.martinique.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.martinique.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.martinique.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.martinique.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.martinique.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.martinique.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.martinique.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.martinique.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","www.martinique.gouv.fr/77.159.252.140","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","www.martinique.gouv.fr/77.159.252.140","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 384   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","www.martinique.gouv.fr/77.159.252.140","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 384   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","www.martinique.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.martinique.gouv.fr/77.159.252.140","443","INFO","NOT a server cipher order configured","",""
"FS","www.martinique.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","www.martinique.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","www.martinique.gouv.fr/77.159.252.140","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","www.martinique.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","www.martinique.gouv.fr/77.159.252.140","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.martinique.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.martinique.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","www.martinique.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","www.martinique.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","www.martinique.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","www.martinique.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","www.martinique.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","www.martinique.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","www.martinique.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","www.martinique.gouv.fr/77.159.252.140","443","OK","RSA 4096 bits (exponent is 65537)","",""
"cert_keyUsage","www.martinique.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.martinique.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.martinique.gouv.fr/77.159.252.140","443","INFO","E7574DF778271871338261DCBBB2F435","",""
"cert_serialNumberLen","www.martinique.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","www.martinique.gouv.fr/77.159.252.140","443","INFO","089330B7FA6A1C0AA06E29571B2B0F0A1E6E5CB8","",""
"cert_fingerprintSHA256","www.martinique.gouv.fr/77.159.252.140","443","INFO","74EF0D5E9F85A290CC6CC554C4FF76C13A8E97C21B947A78E1F50E5A419824CF","",""
