"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","plainte-en-ligne.masecurite.interieur.gouv.fr/142.44.55.72","443","INFO","HTTP","",""
"pre_128cipher","plainte-en-ligne.masecurite.interieur.gouv.fr/142.44.55.72","443","INFO","No 128 cipher limit bug","",""
"SSLv2","plainte-en-ligne.masecurite.interieur.gouv.fr/142.44.55.72","443","OK","not offered","",""
"SSLv3","plainte-en-ligne.masecurite.interieur.gouv.fr/142.44.55.72","443","OK","not offered","",""
"TLS1","plainte-en-ligne.masecurite.interieur.gouv.fr/142.44.55.72","443","INFO","not offered","",""
"TLS1_1","plainte-en-ligne.masecurite.interieur.gouv.fr/142.44.55.72","443","INFO","not offered","",""
"TLS1_2","plainte-en-ligne.masecurite.interieur.gouv.fr/142.44.55.72","443","OK","offered","",""
"TLS1_3","plainte-en-ligne.masecurite.interieur.gouv.fr/142.44.55.72","443","OK","offered with final","",""
"ALPN_HTTP2","plainte-en-ligne.masecurite.interieur.gouv.fr/142.44.55.72","443","OK","h2","",""
"ALPN","plainte-en-ligne.masecurite.interieur.gouv.fr/142.44.55.72","443","INFO","http/1.1","",""
"cipherlist_NULL","plainte-en-ligne.masecurite.interieur.gouv.fr/142.44.55.72","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","plainte-en-ligne.masecurite.interieur.gouv.fr/142.44.55.72","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","plainte-en-ligne.masecurite.interieur.gouv.fr/142.44.55.72","443","OK","not offered","","CWE-327"
"cipherlist_LOW","plainte-en-ligne.masecurite.interieur.gouv.fr/142.44.55.72","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","plainte-en-ligne.masecurite.interieur.gouv.fr/142.44.55.72","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","plainte-en-ligne.masecurite.interieur.gouv.fr/142.44.55.72","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","plainte-en-ligne.masecurite.interieur.gouv.fr/142.44.55.72","443","INFO","not offered","",""
"cipherlist_STRONG_FS","plainte-en-ligne.masecurite.interieur.gouv.fr/142.44.55.72","443","OK","offered","",""
"cipher_order","plainte-en-ligne.masecurite.interieur.gouv.fr/142.44.55.72","443","OK","server","",""
"FS","plainte-en-ligne.masecurite.interieur.gouv.fr/142.44.55.72","443","OK","offered","",""
"FS_ciphers","plainte-en-ligne.masecurite.interieur.gouv.fr/142.44.55.72","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","plainte-en-ligne.masecurite.interieur.gouv.fr/142.44.55.72","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","plainte-en-ligne.masecurite.interieur.gouv.fr/142.44.55.72","443","OK","prime256v1","",""
"TLS_extensions","plainte-en-ligne.masecurite.interieur.gouv.fr/142.44.55.72","443","INFO","'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","plainte-en-ligne.masecurite.interieur.gouv.fr/142.44.55.72","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","plainte-en-ligne.masecurite.interieur.gouv.fr/142.44.55.72","443","INFO","yes","",""
"sessionresumption_ticket","plainte-en-ligne.masecurite.interieur.gouv.fr/142.44.55.72","443","WARN","check failed, pls report","",""
"sessionresumption_ID","plainte-en-ligne.masecurite.interieur.gouv.fr/142.44.55.72","443","INFO","not supported","",""
"TLS_timestamp","plainte-en-ligne.masecurite.interieur.gouv.fr/142.44.55.72","443","INFO","random","",""
"certificate_compression","plainte-en-ligne.masecurite.interieur.gouv.fr/142.44.55.72","443","INFO","none","",""
"clientAuth","plainte-en-ligne.masecurite.interieur.gouv.fr/142.44.55.72","443","INFO","none","",""
"cert_numbers","plainte-en-ligne.masecurite.interieur.gouv.fr/142.44.55.72","443","INFO","1","",""
"cert_signatureAlgorithm","plainte-en-ligne.masecurite.interieur.gouv.fr/142.44.55.72","443","OK","SHA256 with RSA","",""
"cert_keySize","plainte-en-ligne.masecurite.interieur.gouv.fr/142.44.55.72","443","OK","RSA 3072 bits (exponent is 65537)","",""
"cert_keyUsage","plainte-en-ligne.masecurite.interieur.gouv.fr/142.44.55.72","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","plainte-en-ligne.masecurite.interieur.gouv.fr/142.44.55.72","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","plainte-en-ligne.masecurite.interieur.gouv.fr/142.44.55.72","443","INFO","AA6CBACC67F27AAA3461521921DFF2CF","",""
"cert_serialNumberLen","plainte-en-ligne.masecurite.interieur.gouv.fr/142.44.55.72","443","INFO","16","",""
"cert_fingerprintSHA1","plainte-en-ligne.masecurite.interieur.gouv.fr/142.44.55.72","443","INFO","C6C2811A775F7073E21000B0D6673E38A4CEA923","",""
"cert_fingerprintSHA256","plainte-en-ligne.masecurite.interieur.gouv.fr/142.44.55.72","443","INFO","592F3F035268B2C08196D7E6FC78C5DA6222949973BBCF657DB0AC55BD1DE4EF","",""
