"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.finistere.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","www.finistere.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.finistere.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","www.finistere.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","www.finistere.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","www.finistere.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","www.finistere.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","www.finistere.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN_HTTP2","www.finistere.gouv.fr/77.159.252.140","443","OK","h2","",""
"ALPN","www.finistere.gouv.fr/77.159.252.140","443","INFO","http/1.1","",""
"cipherlist_NULL","www.finistere.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.finistere.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.finistere.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.finistere.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.finistere.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.finistere.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.finistere.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.finistere.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","www.finistere.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","www.finistere.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.finistere.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","www.finistere.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","www.finistere.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","www.finistere.gouv.fr/77.159.252.140","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","www.finistere.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.finistere.gouv.fr/77.159.252.140","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.finistere.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.finistere.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","www.finistere.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","www.finistere.gouv.fr/77.159.252.140","443","INFO","supported","",""
"TLS_timestamp","www.finistere.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","www.finistere.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","www.finistere.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","www.finistere.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","www.finistere.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","www.finistere.gouv.fr/77.159.252.140","443","OK","RSA 4096 bits (exponent is 65537)","",""
"cert_keyUsage","www.finistere.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.finistere.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.finistere.gouv.fr/77.159.252.140","443","INFO","A9AB23CB4F624F3F8AFB7421BD1CC7D7","",""
"cert_serialNumberLen","www.finistere.gouv.fr/77.159.252.140","443","INFO","16","",""
