"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","maprocuration.gouv.fr/5.22.145.247","443","INFO","HTTP","",""
"pre_128cipher","maprocuration.gouv.fr/5.22.145.247","443","INFO","No 128 cipher limit bug","",""
"SSLv2","maprocuration.gouv.fr/5.22.145.247","443","OK","not offered","",""
"SSLv3","maprocuration.gouv.fr/5.22.145.247","443","OK","not offered","",""
"TLS1","maprocuration.gouv.fr/5.22.145.247","443","INFO","not offered","",""
"TLS1_1","maprocuration.gouv.fr/5.22.145.247","443","INFO","not offered","",""
"TLS1_2","maprocuration.gouv.fr/5.22.145.247","443","OK","offered","",""
"TLS1_3","maprocuration.gouv.fr/5.22.145.247","443","OK","offered with final","",""
"ALPN_HTTP2","maprocuration.gouv.fr/5.22.145.247","443","OK","h2","",""
"ALPN","maprocuration.gouv.fr/5.22.145.247","443","INFO","http/1.1","",""
"cipherlist_NULL","maprocuration.gouv.fr/5.22.145.247","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","maprocuration.gouv.fr/5.22.145.247","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","maprocuration.gouv.fr/5.22.145.247","443","OK","not offered","","CWE-327"
"cipherlist_LOW","maprocuration.gouv.fr/5.22.145.247","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","maprocuration.gouv.fr/5.22.145.247","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","maprocuration.gouv.fr/5.22.145.247","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","maprocuration.gouv.fr/5.22.145.247","443","INFO","not offered","",""
"cipherlist_STRONG_FS","maprocuration.gouv.fr/5.22.145.247","443","OK","offered","",""
"cipher_order-tls1_2","maprocuration.gouv.fr/5.22.145.247","443","OK","server","",""
"cipherorder_TLSv1_2","maprocuration.gouv.fr/5.22.145.247","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384","",""
"cipher_order","maprocuration.gouv.fr/5.22.145.247","443","OK","server","",""
"FS","maprocuration.gouv.fr/5.22.145.247","443","OK","offered","",""
"FS_ciphers","maprocuration.gouv.fr/5.22.145.247","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA256 ECDHE-ECDSA-AES128-SHA ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA384 ECDHE-ECDSA-AES256-SHA","",""
"FS_ECDHE_curves","maprocuration.gouv.fr/5.22.145.247","443","OK","prime256v1","",""
"TLS_extensions","maprocuration.gouv.fr/5.22.145.247","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","maprocuration.gouv.fr/5.22.145.247","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","maprocuration.gouv.fr/5.22.145.247","443","INFO","yes","",""
"sessionresumption_ticket","maprocuration.gouv.fr/5.22.145.247","443","INFO","supported","",""
"sessionresumption_ID","maprocuration.gouv.fr/5.22.145.247","443","INFO","supported","",""
"TLS_timestamp","maprocuration.gouv.fr/5.22.145.247","443","INFO","random","",""
"certificate_compression","maprocuration.gouv.fr/5.22.145.247","443","INFO","none","",""
"clientAuth","maprocuration.gouv.fr/5.22.145.247","443","INFO","none","",""
"cert_numbers","maprocuration.gouv.fr/5.22.145.247","443","INFO","1","",""
"cert_signatureAlgorithm","maprocuration.gouv.fr/5.22.145.247","443","OK","ECDSA with SHA384","",""
"cert_keySize","maprocuration.gouv.fr/5.22.145.247","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","maprocuration.gouv.fr/5.22.145.247","443","INFO","Digital Signature","",""
"cert_extKeyUsage","maprocuration.gouv.fr/5.22.145.247","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","maprocuration.gouv.fr/5.22.145.247","443","INFO","05D31DC777BC0D67BE12DD416DBA14EA1A5A","",""
"cert_serialNumberLen","maprocuration.gouv.fr/5.22.145.247","443","INFO","18","",""
"cert_fingerprintSHA1","maprocuration.gouv.fr/5.22.145.247","443","INFO","D2C4B8D934C639DD5DE08559B3E18BC866D0E2AE","",""
"cert_fingerprintSHA256","maprocuration.gouv.fr/5.22.145.247","443","INFO","99447C2493A60E1ECB6BD86FF12772E261EB82749E7AC5816768E1536AC4CC34","",""
