"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.aisne.gouv.fr/77.159.252.140","443","DEBUG","Couldn't determine service, skipping all HTTP checks","",""
"pre_128cipher","www.aisne.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.aisne.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","www.aisne.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","www.aisne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","www.aisne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","www.aisne.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","www.aisne.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN_HTTP2","www.aisne.gouv.fr/77.159.252.140","443","OK","h2","",""
"ALPN","www.aisne.gouv.fr/77.159.252.140","443","INFO","http/1.1","",""
"cipherlist_NULL","www.aisne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.aisne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.aisne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.aisne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.aisne.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.aisne.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.aisne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.aisne.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","www.aisne.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","www.aisne.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.aisne.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","www.aisne.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","www.aisne.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
