"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","application-form.france-visas.gouv.fr/172.65.182.160","443","INFO","HTTP","",""
"pre_128cipher","application-form.france-visas.gouv.fr/172.65.182.160","443","INFO","No 128 cipher limit bug","",""
"SSLv2","application-form.france-visas.gouv.fr/172.65.182.160","443","OK","not offered","",""
"SSLv3","application-form.france-visas.gouv.fr/172.65.182.160","443","OK","not offered","",""
"TLS1","application-form.france-visas.gouv.fr/172.65.182.160","443","INFO","not offered","",""
"TLS1_1","application-form.france-visas.gouv.fr/172.65.182.160","443","INFO","not offered","",""
"TLS1_2","application-form.france-visas.gouv.fr/172.65.182.160","443","OK","offered","",""
"TLS1_3","application-form.france-visas.gouv.fr/172.65.182.160","443","OK","offered with final","",""
"ALPN_HTTP2","application-form.france-visas.gouv.fr/172.65.182.160","443","OK","h2","",""
"ALPN","application-form.france-visas.gouv.fr/172.65.182.160","443","INFO","http/1.1","",""
"cipherlist_NULL","application-form.france-visas.gouv.fr/172.65.182.160","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","application-form.france-visas.gouv.fr/172.65.182.160","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","application-form.france-visas.gouv.fr/172.65.182.160","443","OK","not offered","","CWE-327"
"cipherlist_LOW","application-form.france-visas.gouv.fr/172.65.182.160","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","application-form.france-visas.gouv.fr/172.65.182.160","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","application-form.france-visas.gouv.fr/172.65.182.160","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","application-form.france-visas.gouv.fr/172.65.182.160","443","INFO","not offered","",""
"cipherlist_STRONG_FS","application-form.france-visas.gouv.fr/172.65.182.160","443","OK","offered","",""
"cipher_order-tls1_2","application-form.france-visas.gouv.fr/172.65.182.160","443","OK","server","",""
"cipherorder_TLSv1_2","application-form.france-visas.gouv.fr/172.65.182.160","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","application-form.france-visas.gouv.fr/172.65.182.160","443","OK","server","",""
"FS","application-form.france-visas.gouv.fr/172.65.182.160","443","OK","offered","",""
"FS_ciphers","application-form.france-visas.gouv.fr/172.65.182.160","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","application-form.france-visas.gouv.fr/172.65.182.160","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","application-form.france-visas.gouv.fr/172.65.182.160","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","application-form.france-visas.gouv.fr/172.65.182.160","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","application-form.france-visas.gouv.fr/172.65.182.160","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","application-form.france-visas.gouv.fr/172.65.182.160","443","INFO","yes","",""
"sessionresumption_ticket","application-form.france-visas.gouv.fr/172.65.182.160","443","INFO","not supported","",""
"sessionresumption_ID","application-form.france-visas.gouv.fr/172.65.182.160","443","INFO","not supported","",""
"TLS_timestamp","application-form.france-visas.gouv.fr/172.65.182.160","443","INFO","random","",""
"certificate_compression","application-form.france-visas.gouv.fr/172.65.182.160","443","INFO","none","",""
"clientAuth","application-form.france-visas.gouv.fr/172.65.182.160","443","INFO","none","",""
"cert_numbers","application-form.france-visas.gouv.fr/172.65.182.160","443","INFO","1","",""
"cert_signatureAlgorithm","application-form.france-visas.gouv.fr/172.65.182.160","443","OK","SHA256 with RSA","",""
"cert_keySize","application-form.france-visas.gouv.fr/172.65.182.160","443","OK","RSA 4096 bits (exponent is 65537)","",""
"cert_keyUsage","application-form.france-visas.gouv.fr/172.65.182.160","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","application-form.france-visas.gouv.fr/172.65.182.160","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","application-form.france-visas.gouv.fr/172.65.182.160","443","INFO","062E8B4B3C99E1F6D08E7D0A3A2D6858","",""
"cert_serialNumberLen","application-form.france-visas.gouv.fr/172.65.182.160","443","INFO","16","",""
"cert_fingerprintSHA1","application-form.france-visas.gouv.fr/172.65.182.160","443","INFO","7336327C2A1A4131E83E21E643C66ABA816F5E48","",""
"cert_fingerprintSHA256","application-form.france-visas.gouv.fr/172.65.182.160","443","INFO","1565E1A80CEC3C4D3ED3F7476083C556B0066A9AA4EE9BC1450424C31ADD7D3F","",""
