"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.loiret.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","www.loiret.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.loiret.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","www.loiret.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","www.loiret.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","www.loiret.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","www.loiret.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","www.loiret.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN_HTTP2","www.loiret.gouv.fr/77.159.252.140","443","OK","h2","",""
"ALPN","www.loiret.gouv.fr/77.159.252.140","443","INFO","http/1.1","",""
"cipherlist_NULL","www.loiret.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.loiret.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.loiret.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.loiret.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.loiret.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.loiret.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.loiret.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.loiret.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","www.loiret.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","www.loiret.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.loiret.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","www.loiret.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","www.loiret.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","www.loiret.gouv.fr/77.159.252.140","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","www.loiret.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.loiret.gouv.fr/77.159.252.140","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.loiret.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.loiret.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","www.loiret.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","www.loiret.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","www.loiret.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","www.loiret.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","www.loiret.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","www.loiret.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","www.loiret.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","www.loiret.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.loiret.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.loiret.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.loiret.gouv.fr/77.159.252.140","443","INFO","A4B6E502E05B960FCCE90AAE7A2D1AD0","",""
"cert_serialNumberLen","www.loiret.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","www.loiret.gouv.fr/77.159.252.140","443","INFO","E8602AF70796DD5CC0158BAA154A7E43022B7843","",""
"cert_fingerprintSHA256","www.loiret.gouv.fr/77.159.252.140","443","INFO","E930A72FF9AFA982C8D7803ACF550C340A11C138360C2AC11C47883BA434D506","",""
