"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.lot.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","www.lot.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.lot.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","www.lot.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","www.lot.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","www.lot.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","www.lot.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","www.lot.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN_HTTP2","www.lot.gouv.fr/77.159.252.140","443","OK","h2","",""
"ALPN","www.lot.gouv.fr/77.159.252.140","443","INFO","http/1.1","",""
"cipherlist_NULL","www.lot.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.lot.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.lot.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.lot.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.lot.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.lot.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.lot.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.lot.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","www.lot.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","www.lot.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.lot.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","www.lot.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","www.lot.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","www.lot.gouv.fr/77.159.252.140","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","www.lot.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.lot.gouv.fr/77.159.252.140","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.lot.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.lot.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","www.lot.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","www.lot.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","www.lot.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","www.lot.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","www.lot.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","www.lot.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","www.lot.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","www.lot.gouv.fr/77.159.252.140","443","OK","RSA 3072 bits (exponent is 65537)","",""
"cert_keyUsage","www.lot.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.lot.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.lot.gouv.fr/77.159.252.140","443","INFO","FCD9E06755306589F60CB0159BA2139D","",""
"cert_serialNumberLen","www.lot.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","www.lot.gouv.fr/77.159.252.140","443","INFO","ABAEE0ECC670EBBAD6AA52F105A0ADBD729F5B7A","",""
"cert_fingerprintSHA256","www.lot.gouv.fr/77.159.252.140","443","INFO","357D5CFD08693072C4E200344028D0F098A402F3DCDCDD6C891F2B8DCC382F72","",""
"cert","www.lot.gouv.fr/77.159.252.140","443","INFO","-----BEGIN CERTIFICATE-----\nMIII2jCCBsKgAwIBAgIRAPzZ4GdVMGWJ9gywFZuiE50wDQYJKoZIhvcNAQELBQAwfTELMAkGA1UEBhMCRlIxEjAQBgNVBAoMCURISU1ZT1RJUzEcMBoGA1UECwwTMDAwMiA0ODE0NjMwODEwMDAzNjEdMBsGA1UEYQwUTlRSRlItNDgxNDYzMDgxMDAwMzYxHTAbBgNVBAMMFENlcnRpZ25hIFNlcnZpY2VzIENBMB4XDTI2MDEyNjAwMDAwMFoXDTI2MDQyNTIzNTk1OVowcDELMAkGA1UEBhMCRlIxDjAMBgNVBAcMBVBBUklTMSEwHwYDVQQKDBhNSU5JU1RFUkUgREUgTCdJTlRFUklFVVIxGDAWBgNVBAMMD3d3dy5sb3QuZ291di5mcjEUMBIGA1UEBRMLUzM3MTU1MDQ4MTQwggGiMA0GCSqGSIb3DQEBAQUAA4IBjwAwggGKAoIBgQCrtNh5sk/x79paHpXVi+baxZJPK6CAKyfzt46pp2kksiMxh/kL1uW3AqjmGbUsoDj+ptXyhFWnApaaQ03V/ranaSTa/vd2aRYSd2c8DL+vjMbLSQZLyzKfwBmyTHGZd4Wp/ZVQ0ulimBVf1NjpV4TdLEr3dkvfAyqDRCOKTX91ZySj+7l4LyBZSE2uUsN5wxv5cLDLgXrVSUK6qd44HvcZC06Gr0d76j+gOi/7CcLcuk5S4+YmGdb8lj1QVvFg5sudgHjM0P21bSHaMIrP3EBPg7+rTs9Gxk+fQIeIH7K4B/QEZRQBGNiSCcIGJiyi3oHwFTIOTKD79sEjZTVzRE7ml5hG6sn5szZbPolqYwgkoWoNL7mzJOigtbBk5Rh1QCxZ/XL3gl+5oq8YeSm5T0nXAHVtljjdDRItswlC+HItHVcTF/SAvnE0gkXIfTVgjirdXUBPAKKEotwv60D2d8Je/nKjp+1SBQVs+p/UtWTabNdrQaxnw8XDQ9l26opctxsCAwEAAaOCA+AwggPcMIHyBggrBgEFBQcBAQSB5TCB4jA9BggrBgEFBQcwAoYxaHR0cDovL2F1dG9yaXRlLmNlcnRpZ25hLmZyL3NlcnZpY2VzY2Ffcm9vdGNhLmRlcjA/BggrBgEFBQcwAoYzaHR0cDovL2F1dG9yaXRlLmRoaW15b3Rpcy5jb20vc2VydmljZXNjYV9yb290Y2EuZGVyMC4GCCsGAQUFBzABhiJodHRwOi8vc2VydmljZXNjYS5vY3NwLmNlcnRpZ25hLmZyMDAGCCsGAQUFBzABhiRodHRwOi8vc2VydmljZXNjYS5vY3NwLmRoaW15b3Rpcy5jb20wHwYDVR0jBBgwFoAUrOyGj0s3HLh/FxsZ0K7oTuM0XBIwDAYDVR0TAQH/BAIwADBhBgNVHSAEWjBYMAgGBmeBDAECAjBMBgsqgXoBgTECBQEBAjA9MDsGCCsGAQUFBwIBFi9odHRwczovL3d3dy5jZXJ0aWduYS5jb20vYXV0b3JpdGUtY2VydGlmaWNhdGlvbjBlBgNVHR8EXjBcMC2gK6AphidodHRwOi8vY3JsLmRoaW15b3Rpcy5jb20vc2VydmljZXNjYS5jcmwwK6ApoCeGJWh0dHA6Ly9jcmwuY2VydGlnbmEuZnIvc2VydmljZXNjYS5jcmwwEwYDVR0lBAwwCgYIKwYBBQUHAwEwDgYDVR0PAQH/BAQDAgWgMCcGA1UdEQQgMB6CC2xvdC5nb3V2LmZygg93d3cubG90LmdvdXYuZnIwHQYDVR0OBBYEFD8SBDJEDIfoe1spyramgrgibBceMIIBfQYKKwYBBAHWeQIEAgSCAW0EggFpAWcAdQCWl2S/VViXrfdDh2g3CEJ36fA61fak8zZuRqQ/D8qpxgAAAZv6bS2yAAAEAwBGMEQCICrs4/ozf+FNF8E6Jf2Gjl28OFErk6SAIa6nXmqNIdJsAiAG+StFFlonoliuCjZ/IN0ayGkQzFR5qVFiJ/VPiRs6LAB2AMs49xWJfIShRF9bwd37yW7ymlnNRwppBYWwyxTDFFjnAAABm/ptLjsAAAQDAEcwRQIgGhMlV+czNEKupF7oiEgnhfZF7m4E8vn++Zl9icTWxlMCIQDnB+ALR+gtMuTe7KZIB++JLypC0UXDIKT4yOft8WEKoQB2AEmcm2neHXzs/DbezYdkprhbrwqHgBnRVVL76esp3fjDAAABm/ptL68AAAQDAEcwRQIhAIQ2aN4Vuw0OAnFkv8SzzCV9LGEPABOJ5BzrI9uVOx0FAiBA/qonKmm1emhpAnrbH+LGZIbGYmoSO4Qkd26p6aPEnjANBgkqhkiG9w0BAQsFAAOCAgEAqeZMBHOrOB4hMnotqBFBu0hftJF9R0CD9PtqT1TWNXxQ5saKBzK+qwdSxogtmA+ikPXGoL05onYKrUUhRuM7la/ZuUTQZ6S5enx0ffwwsjJQxLbXW2TLG10XWucXJFeBYG/D2nOaGOhZ1udpovd2u28IUQzJ2HcWGqDMN7CjRBMKvcax61YFlmdIJFN9GciVFiPukzkmwB+I2FmgI5eksQcO1nEgs7uhfIWKDYb59dcbLtzKxoGav9TlQliZOQQO/1VTVr7OxCR6MlbOdy3DHqlBup1Roj2EB83G2hcKt7E+pSoYdvWdyPoRs73SGm05q2XqbeWzEQ6cqQfkhHabNF0ZozImA0knlrIf4vHZayi5FF9+EtA24Jz6VcuupY2JiKBhcr5NBUIXRsDyzYH1p4XIN65akX6+/KA7aWWj94jG6Z8E1CkprPPziWSKlzs8fcTe5/gwLyfMznX2JSl4Ex/YDisS3dot0xWMi3GU138PIQZuJQuiE1XCI13liY3ZS3BPEOCC5Vq8NNRBjpLcvWR4+M9sJm8W4lXWPlTLxl2rDT87cNO293q9ZgNtzuLQKAD6EgSx11ars1/Bp24YHw/HeplM+TNGPhTPY2uLXhyNd3o0yzbpve6M6l6BBPjDo82ezIe4fZFRRqnvVJJ/dTgQJyYK9OsxwioA7AeE4C0=\n-----END CERTIFICATE-----","",""
"cert_commonName","www.lot.gouv.fr/77.159.252.140","443","OK","www.lot.gouv.fr","",""
"cert_commonName_wo_SNI","www.lot.gouv.fr/77.159.252.140","443","INFO","default.phi67.zd-est.pref.gouv.fr","",""
