"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","administration-etrangers-en-france.interieur.gouv.fr/45.223.100.23","443","INFO","HTTP","",""
"pre_128cipher","administration-etrangers-en-france.interieur.gouv.fr/45.223.100.23","443","INFO","No 128 cipher limit bug","",""
"SSLv2","administration-etrangers-en-france.interieur.gouv.fr/45.223.100.23","443","OK","not offered","",""
"SSLv3","administration-etrangers-en-france.interieur.gouv.fr/45.223.100.23","443","OK","not offered","",""
"TLS1","administration-etrangers-en-france.interieur.gouv.fr/45.223.100.23","443","INFO","not offered","",""
"TLS1_1","administration-etrangers-en-france.interieur.gouv.fr/45.223.100.23","443","INFO","not offered","",""
"TLS1_2","administration-etrangers-en-france.interieur.gouv.fr/45.223.100.23","443","OK","offered","",""
"TLS1_3","administration-etrangers-en-france.interieur.gouv.fr/45.223.100.23","443","OK","offered with final","",""
"ALPN_HTTP2","administration-etrangers-en-france.interieur.gouv.fr/45.223.100.23","443","OK","h2","",""
"cipherlist_NULL","administration-etrangers-en-france.interieur.gouv.fr/45.223.100.23","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","administration-etrangers-en-france.interieur.gouv.fr/45.223.100.23","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","administration-etrangers-en-france.interieur.gouv.fr/45.223.100.23","443","OK","not offered","","CWE-327"
"cipherlist_LOW","administration-etrangers-en-france.interieur.gouv.fr/45.223.100.23","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","administration-etrangers-en-france.interieur.gouv.fr/45.223.100.23","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","administration-etrangers-en-france.interieur.gouv.fr/45.223.100.23","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","administration-etrangers-en-france.interieur.gouv.fr/45.223.100.23","443","OK","offered","",""
"cipherlist_STRONG_FS","administration-etrangers-en-france.interieur.gouv.fr/45.223.100.23","443","OK","offered","",""
"cipher_order-tls1_2","administration-etrangers-en-france.interieur.gouv.fr/45.223.100.23","443","OK","server","",""
"cipherorder_TLSv1_2","administration-etrangers-en-france.interieur.gouv.fr/45.223.100.23","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","administration-etrangers-en-france.interieur.gouv.fr/45.223.100.23","443","OK","server","",""
"FS","administration-etrangers-en-france.interieur.gouv.fr/45.223.100.23","443","OK","offered","",""
"FS_ciphers","administration-etrangers-en-france.interieur.gouv.fr/45.223.100.23","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","administration-etrangers-en-france.interieur.gouv.fr/45.223.100.23","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","administration-etrangers-en-france.interieur.gouv.fr/45.223.100.23","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'next protocol/#13172' 'renegotiation info/#65281'","",""
"TLS_session_ticket","administration-etrangers-en-france.interieur.gouv.fr/45.223.100.23","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","administration-etrangers-en-france.interieur.gouv.fr/45.223.100.23","443","INFO","yes","",""
"sessionresumption_ticket","administration-etrangers-en-france.interieur.gouv.fr/45.223.100.23","443","INFO","supported","",""
"sessionresumption_ID","administration-etrangers-en-france.interieur.gouv.fr/45.223.100.23","443","INFO","supported","",""
"TLS_timestamp","administration-etrangers-en-france.interieur.gouv.fr/45.223.100.23","443","INFO","random","",""
"certificate_compression","administration-etrangers-en-france.interieur.gouv.fr/45.223.100.23","443","INFO","none","",""
"clientAuth","administration-etrangers-en-france.interieur.gouv.fr/45.223.100.23","443","INFO","none","",""
"cert_numbers","administration-etrangers-en-france.interieur.gouv.fr/45.223.100.23","443","INFO","1","",""
"cert_signatureAlgorithm","administration-etrangers-en-france.interieur.gouv.fr/45.223.100.23","443","OK","SHA256 with RSA","",""
"cert_keySize","administration-etrangers-en-france.interieur.gouv.fr/45.223.100.23","443","OK","RSA 3072 bits (exponent is 65537)","",""
"cert_keyUsage","administration-etrangers-en-france.interieur.gouv.fr/45.223.100.23","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","administration-etrangers-en-france.interieur.gouv.fr/45.223.100.23","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","administration-etrangers-en-france.interieur.gouv.fr/45.223.100.23","443","INFO","6B5AA763A8FF5DC4EC887AE6EA2DB282","",""
"cert_serialNumberLen","administration-etrangers-en-france.interieur.gouv.fr/45.223.100.23","443","INFO","16","",""
"cert_fingerprintSHA1","administration-etrangers-en-france.interieur.gouv.fr/45.223.100.23","443","INFO","62588317D8B13E356CBA62EAECC8C0832656420E","",""
"cert_fingerprintSHA256","administration-etrangers-en-france.interieur.gouv.fr/45.223.100.23","443","INFO","1D156E6E99E818630B4CB5C61099B36272572A1ACF1BE663C22D50D641B63EC1","",""
