"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.morbihan.gouv.fr/77.159.252.140","443","DEBUG","Couldn't determine service, skipping all HTTP checks","",""
"pre_128cipher","www.morbihan.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.morbihan.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","www.morbihan.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","www.morbihan.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","www.morbihan.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","www.morbihan.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","www.morbihan.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN_HTTP2","www.morbihan.gouv.fr/77.159.252.140","443","OK","h2","",""
"ALPN","www.morbihan.gouv.fr/77.159.252.140","443","INFO","http/1.1","",""
"cipherlist_NULL","www.morbihan.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.morbihan.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.morbihan.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.morbihan.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.morbihan.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.morbihan.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.morbihan.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.morbihan.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","www.morbihan.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","www.morbihan.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.morbihan.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","www.morbihan.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","www.morbihan.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.morbihan.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.morbihan.gouv.fr/77.159.252.140","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.morbihan.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.morbihan.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","www.morbihan.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","www.morbihan.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","www.morbihan.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","www.morbihan.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","www.morbihan.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","www.morbihan.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","www.morbihan.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","www.morbihan.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.morbihan.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.morbihan.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.morbihan.gouv.fr/77.159.252.140","443","INFO","DF17C1D33E1374280F4D005B57834B24","",""
"cert_serialNumberLen","www.morbihan.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","www.morbihan.gouv.fr/77.159.252.140","443","INFO","FC91B644D64855524BC18B4B1CEC1C743ED5A355","",""
"cert_fingerprintSHA256","www.morbihan.gouv.fr/77.159.252.140","443","INFO","02504D4915073F4AF310A1E555464E94CCEDA09FF557E05CAC6F2C1DA42A1372","",""
