"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","iaflash.fr/185.199.111.153","443","INFO","HTTP","",""
"pre_128cipher","iaflash.fr/185.199.111.153","443","INFO","No 128 cipher limit bug","",""
"SSLv2","iaflash.fr/185.199.111.153","443","OK","not offered","",""
"SSLv3","iaflash.fr/185.199.111.153","443","OK","not offered","",""
"TLS1","iaflash.fr/185.199.111.153","443","INFO","not offered","",""
"TLS1_1","iaflash.fr/185.199.111.153","443","INFO","not offered","",""
"TLS1_2","iaflash.fr/185.199.111.153","443","OK","offered","",""
"TLS1_3","iaflash.fr/185.199.111.153","443","OK","offered with draft 28, draft 27, draft 26, final","",""
"ALPN_HTTP2","iaflash.fr/185.199.111.153","443","OK","h2","",""
"ALPN","iaflash.fr/185.199.111.153","443","INFO","http/1.1","",""
"cipherlist_NULL","iaflash.fr/185.199.111.153","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","iaflash.fr/185.199.111.153","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","iaflash.fr/185.199.111.153","443","OK","not offered","","CWE-327"
"cipherlist_LOW","iaflash.fr/185.199.111.153","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","iaflash.fr/185.199.111.153","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","iaflash.fr/185.199.111.153","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","iaflash.fr/185.199.111.153","443","OK","offered","",""
"cipherlist_STRONG","iaflash.fr/185.199.111.153","443","OK","offered","",""
"cipher_order","iaflash.fr/185.199.111.153","443","OK","server -- TLS 1.3 client determined","",""
"protocol_negotiated","iaflash.fr/185.199.111.153","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","iaflash.fr/185.199.111.153","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"cipherorder_TLSv1_2","iaflash.fr/185.199.111.153","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","iaflash.fr/185.199.111.153","443","OK","offered","",""
"FS_ciphers","iaflash.fr/185.199.111.153","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","iaflash.fr/185.199.111.153","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","iaflash.fr/185.199.111.153","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'status request/#5' 'supported versions/#43' 'key share/#51' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","iaflash.fr/185.199.111.153","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","iaflash.fr/185.199.111.153","443","INFO","yes","",""
"sessionresumption_ticket","iaflash.fr/185.199.111.153","443","INFO","supported","",""
"sessionresumption_ID","iaflash.fr/185.199.111.153","443","INFO","supported","",""
"TLS_timestamp","iaflash.fr/185.199.111.153","443","INFO","random","",""
"certificate_compression","iaflash.fr/185.199.111.153","443","INFO","none","",""
"clientAuth","iaflash.fr/185.199.111.153","443","INFO","none","",""
"cert_numbers","iaflash.fr/185.199.111.153","443","INFO","1","",""
"cert_signatureAlgorithm","iaflash.fr/185.199.111.153","443","OK","SHA256 with RSA","",""
"cert_keySize","iaflash.fr/185.199.111.153","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","iaflash.fr/185.199.111.153","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","iaflash.fr/185.199.111.153","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","iaflash.fr/185.199.111.153","443","INFO","035B7018C0EBEB805FEE95CA3BF14F64CEC1","",""
"cert_serialNumberLen","iaflash.fr/185.199.111.153","443","INFO","18","",""
"cert_fingerprintSHA1","iaflash.fr/185.199.111.153","443","INFO","A6E317BDEB7BF7D381388642ABDDB99AEBB53B42","",""
"cert_fingerprintSHA256","iaflash.fr/185.199.111.153","443","INFO","FB4EF3868A38AE0785024BA83546F9DCE2B433D5D530750E278A44F5FE693873","",""
