"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.charente-maritime.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","www.charente-maritime.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.charente-maritime.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","www.charente-maritime.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","www.charente-maritime.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","www.charente-maritime.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","www.charente-maritime.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","www.charente-maritime.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN_HTTP2","www.charente-maritime.gouv.fr/77.159.252.140","443","OK","h2","",""
"ALPN","www.charente-maritime.gouv.fr/77.159.252.140","443","INFO","http/1.1","",""
"cipherlist_NULL","www.charente-maritime.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.charente-maritime.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.charente-maritime.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.charente-maritime.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.charente-maritime.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.charente-maritime.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.charente-maritime.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.charente-maritime.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","www.charente-maritime.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","www.charente-maritime.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.charente-maritime.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","www.charente-maritime.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","www.charente-maritime.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","www.charente-maritime.gouv.fr/77.159.252.140","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","www.charente-maritime.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.charente-maritime.gouv.fr/77.159.252.140","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.charente-maritime.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.charente-maritime.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","www.charente-maritime.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","www.charente-maritime.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","www.charente-maritime.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","www.charente-maritime.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","www.charente-maritime.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","www.charente-maritime.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","www.charente-maritime.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","www.charente-maritime.gouv.fr/77.159.252.140","443","OK","RSA 4096 bits (exponent is 65537)","",""
"cert_keyUsage","www.charente-maritime.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.charente-maritime.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.charente-maritime.gouv.fr/77.159.252.140","443","INFO","ED0593791914D42D7C25F1F883C26599","",""
"cert_serialNumberLen","www.charente-maritime.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","www.charente-maritime.gouv.fr/77.159.252.140","443","INFO","1E045AC798D19E7A8ACD2DD35A8CA6DEDA86DBB0","",""
"cert_fingerprintSHA256","www.charente-maritime.gouv.fr/77.159.252.140","443","INFO","0E0F02D1C44295DC387A2341BF1A29CC350E579B08D94603EE8F9408F0B81C45","",""
