"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.alpes-de-haute-provence.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","www.alpes-de-haute-provence.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.alpes-de-haute-provence.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","www.alpes-de-haute-provence.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","www.alpes-de-haute-provence.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","www.alpes-de-haute-provence.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","www.alpes-de-haute-provence.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","www.alpes-de-haute-provence.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN_HTTP2","www.alpes-de-haute-provence.gouv.fr/77.159.252.140","443","OK","h2","",""
"ALPN","www.alpes-de-haute-provence.gouv.fr/77.159.252.140","443","INFO","http/1.1","",""
"cipherlist_NULL","www.alpes-de-haute-provence.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.alpes-de-haute-provence.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.alpes-de-haute-provence.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.alpes-de-haute-provence.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.alpes-de-haute-provence.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.alpes-de-haute-provence.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.alpes-de-haute-provence.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.alpes-de-haute-provence.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","www.alpes-de-haute-provence.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","www.alpes-de-haute-provence.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.alpes-de-haute-provence.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","www.alpes-de-haute-provence.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","www.alpes-de-haute-provence.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.alpes-de-haute-provence.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.alpes-de-haute-provence.gouv.fr/77.159.252.140","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.alpes-de-haute-provence.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.alpes-de-haute-provence.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","www.alpes-de-haute-provence.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","www.alpes-de-haute-provence.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","www.alpes-de-haute-provence.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","www.alpes-de-haute-provence.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","www.alpes-de-haute-provence.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","www.alpes-de-haute-provence.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","www.alpes-de-haute-provence.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","www.alpes-de-haute-provence.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.alpes-de-haute-provence.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.alpes-de-haute-provence.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.alpes-de-haute-provence.gouv.fr/77.159.252.140","443","INFO","0E3850815CA20F604D87649A1CC97B8D","",""
"cert_serialNumberLen","www.alpes-de-haute-provence.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","www.alpes-de-haute-provence.gouv.fr/77.159.252.140","443","INFO","F7C56A2F7D2C1C1D2DD2D9AE12B97B3078A63574","",""
"cert_fingerprintSHA256","www.alpes-de-haute-provence.gouv.fr/77.159.252.140","443","INFO","B4BE8108D0ADE5DD410C2EEC4AB3713EAFEFB71737715E68B65535174750A68C","",""
