"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.isere.gouv.fr/77.159.252.140","443","DEBUG","Couldn't determine service, skipping all HTTP checks","",""
"pre_128cipher","www.isere.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.isere.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","www.isere.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","www.isere.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","www.isere.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","www.isere.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","www.isere.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN_HTTP2","www.isere.gouv.fr/77.159.252.140","443","OK","h2","",""
"ALPN","www.isere.gouv.fr/77.159.252.140","443","INFO","http/1.1","",""
"cipherlist_NULL","www.isere.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.isere.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.isere.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.isere.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.isere.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.isere.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.isere.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.isere.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","www.isere.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","www.isere.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.isere.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","www.isere.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","www.isere.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","www.isere.gouv.fr/77.159.252.140","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","www.isere.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.isere.gouv.fr/77.159.252.140","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.isere.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.isere.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","www.isere.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","www.isere.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","www.isere.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","www.isere.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","www.isere.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","www.isere.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","www.isere.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","www.isere.gouv.fr/77.159.252.140","443","OK","RSA 4096 bits (exponent is 65537)","",""
"cert_keyUsage","www.isere.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.isere.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.isere.gouv.fr/77.159.252.140","443","INFO","5BC045D1F03EEF151137BBE6D3FF1C26","",""
"cert_serialNumberLen","www.isere.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","www.isere.gouv.fr/77.159.252.140","443","INFO","CB19CDA61EBD25F42A49BC5D5BDA5FE25529808C","",""
"cert_fingerprintSHA256","www.isere.gouv.fr/77.159.252.140","443","INFO","01B9D0EB78812185A893C856DA5A49BC0F89B8FCF0757EE188830D90B1099280","",""
