"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.seine-maritime.gouv.fr/77.159.252.140","443","DEBUG","Couldn't determine service, skipping all HTTP checks","",""
"pre_128cipher","www.seine-maritime.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.seine-maritime.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","www.seine-maritime.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","www.seine-maritime.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","www.seine-maritime.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","www.seine-maritime.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","www.seine-maritime.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN_HTTP2","www.seine-maritime.gouv.fr/77.159.252.140","443","OK","h2","",""
"ALPN","www.seine-maritime.gouv.fr/77.159.252.140","443","INFO","http/1.1","",""
"cipherlist_NULL","www.seine-maritime.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.seine-maritime.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.seine-maritime.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.seine-maritime.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.seine-maritime.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.seine-maritime.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.seine-maritime.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.seine-maritime.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","www.seine-maritime.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","www.seine-maritime.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.seine-maritime.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","www.seine-maritime.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","www.seine-maritime.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.seine-maritime.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.seine-maritime.gouv.fr/77.159.252.140","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.seine-maritime.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.seine-maritime.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","www.seine-maritime.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","www.seine-maritime.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","www.seine-maritime.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","www.seine-maritime.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","www.seine-maritime.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","www.seine-maritime.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","www.seine-maritime.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","www.seine-maritime.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.seine-maritime.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.seine-maritime.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.seine-maritime.gouv.fr/77.159.252.140","443","INFO","3EF6A9F2E31CA54CD8A6BC91737B0F58","",""
"cert_serialNumberLen","www.seine-maritime.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","www.seine-maritime.gouv.fr/77.159.252.140","443","INFO","0E58E00D7C5E0F66C348D9C990AE3076199099E5","",""
"cert_fingerprintSHA256","www.seine-maritime.gouv.fr/77.159.252.140","443","INFO","15D91ACCBF4525283B3B09C0554B5C85B6A2400142602E2BCD47519FC2DB9C15","",""
