"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","siv.interieur.gouv.fr/143.196.253.141","443","INFO","HTTP","",""
"pre_128cipher","siv.interieur.gouv.fr/143.196.253.141","443","INFO","No 128 cipher limit bug","",""
"SSLv2","siv.interieur.gouv.fr/143.196.253.141","443","OK","not offered","",""
"SSLv3","siv.interieur.gouv.fr/143.196.253.141","443","OK","not offered","",""
"TLS1","siv.interieur.gouv.fr/143.196.253.141","443","LOW","offered (deprecated)","",""
"TLS1_1","siv.interieur.gouv.fr/143.196.253.141","443","LOW","offered (deprecated)","",""
"TLS1_2","siv.interieur.gouv.fr/143.196.253.141","443","OK","offered","",""
"TLS1_3","siv.interieur.gouv.fr/143.196.253.141","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","siv.interieur.gouv.fr/143.196.253.141","443","INFO","http/1.1","",""
"cipherlist_NULL","siv.interieur.gouv.fr/143.196.253.141","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","siv.interieur.gouv.fr/143.196.253.141","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","siv.interieur.gouv.fr/143.196.253.141","443","OK","not offered","","CWE-327"
"cipherlist_LOW","siv.interieur.gouv.fr/143.196.253.141","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","siv.interieur.gouv.fr/143.196.253.141","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","siv.interieur.gouv.fr/143.196.253.141","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","siv.interieur.gouv.fr/143.196.253.141","443","OK","offered","",""
"cipherlist_STRONG_FS","siv.interieur.gouv.fr/143.196.253.141","443","OK","offered","",""
"cipher_order-tls1","siv.interieur.gouv.fr/143.196.253.141","443","OK","server","",""
"cipherorder_TLSv1","siv.interieur.gouv.fr/143.196.253.141","443","INFO","ECDHE-RSA-AES256-SHA","",""
"cipher_order-tls1_1","siv.interieur.gouv.fr/143.196.253.141","443","OK","server","",""
"cipherorder_TLSv1_1","siv.interieur.gouv.fr/143.196.253.141","443","INFO","ECDHE-RSA-AES256-SHA","",""
"cipher_order-tls1_2","siv.interieur.gouv.fr/143.196.253.141","443","OK","server","",""
"cipherorder_TLSv1_2","siv.interieur.gouv.fr/143.196.253.141","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","siv.interieur.gouv.fr/143.196.253.141","443","OK","server","",""
"FS","siv.interieur.gouv.fr/143.196.253.141","443","OK","offered","",""
"FS_ciphers","siv.interieur.gouv.fr/143.196.253.141","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","siv.interieur.gouv.fr/143.196.253.141","443","OK","secp256k1 prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","siv.interieur.gouv.fr/143.196.253.141","443","INFO","'server name/#0' 'EC point formats/#11' 'heartbeat/#15' 'application layer protocol negotiation/#16' 'session ticket/#35' 'renegotiation info/#65281'","",""
"TLS_session_ticket","siv.interieur.gouv.fr/143.196.253.141","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","siv.interieur.gouv.fr/143.196.253.141","443","INFO","yes","",""
"sessionresumption_ticket","siv.interieur.gouv.fr/143.196.253.141","443","INFO","supported","",""
"sessionresumption_ID","siv.interieur.gouv.fr/143.196.253.141","443","INFO","supported","",""
"TLS_timestamp","siv.interieur.gouv.fr/143.196.253.141","443","INFO","random","",""
"cert_compression","siv.interieur.gouv.fr/143.196.253.141","443","INFO","N/A","",""
"clientAuth","siv.interieur.gouv.fr/143.196.253.141","443","INFO","none","",""
"cert_numbers","siv.interieur.gouv.fr/143.196.253.141","443","INFO","1","",""
"cert_signatureAlgorithm","siv.interieur.gouv.fr/143.196.253.141","443","OK","SHA256 with RSA","",""
"cert_keySize","siv.interieur.gouv.fr/143.196.253.141","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","siv.interieur.gouv.fr/143.196.253.141","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","siv.interieur.gouv.fr/143.196.253.141","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","siv.interieur.gouv.fr/143.196.253.141","443","INFO","1F4CE7CE491226FEE4109FE580D5A427","",""
