"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.pyrenees-orientales.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","www.pyrenees-orientales.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.pyrenees-orientales.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","www.pyrenees-orientales.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","www.pyrenees-orientales.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","www.pyrenees-orientales.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","www.pyrenees-orientales.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","www.pyrenees-orientales.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN_HTTP2","www.pyrenees-orientales.gouv.fr/77.159.252.140","443","OK","h2","",""
"ALPN","www.pyrenees-orientales.gouv.fr/77.159.252.140","443","INFO","http/1.1","",""
"cipherlist_NULL","www.pyrenees-orientales.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.pyrenees-orientales.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.pyrenees-orientales.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.pyrenees-orientales.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.pyrenees-orientales.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.pyrenees-orientales.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.pyrenees-orientales.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.pyrenees-orientales.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","www.pyrenees-orientales.gouv.fr/77.159.252.140","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","www.pyrenees-orientales.gouv.fr/77.159.252.140","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 384   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","www.pyrenees-orientales.gouv.fr/77.159.252.140","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 384   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","www.pyrenees-orientales.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.pyrenees-orientales.gouv.fr/77.159.252.140","443","INFO","NOT a server cipher order configured","",""
"FS","www.pyrenees-orientales.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","www.pyrenees-orientales.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","www.pyrenees-orientales.gouv.fr/77.159.252.140","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","www.pyrenees-orientales.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","www.pyrenees-orientales.gouv.fr/77.159.252.140","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.pyrenees-orientales.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.pyrenees-orientales.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","www.pyrenees-orientales.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","www.pyrenees-orientales.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","www.pyrenees-orientales.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","www.pyrenees-orientales.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","www.pyrenees-orientales.gouv.fr/77.159.252.140","443","INFO","none","",""
