"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.elections.interieur.gouv.fr/152.199.23.53","443","INFO","HTTP","",""
"pre_128cipher","www.elections.interieur.gouv.fr/152.199.23.53","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.elections.interieur.gouv.fr/152.199.23.53","443","OK","not offered","",""
"SSLv3","www.elections.interieur.gouv.fr/152.199.23.53","443","OK","not offered","",""
"TLS1","www.elections.interieur.gouv.fr/152.199.23.53","443","INFO","not offered","",""
"TLS1_1","www.elections.interieur.gouv.fr/152.199.23.53","443","INFO","not offered","",""
"TLS1_2","www.elections.interieur.gouv.fr/152.199.23.53","443","OK","offered","",""
"TLS1_3","www.elections.interieur.gouv.fr/152.199.23.53","443","OK","offered with final","",""
"ALPN_HTTP2","www.elections.interieur.gouv.fr/152.199.23.53","443","OK","h2","",""
"ALPN","www.elections.interieur.gouv.fr/152.199.23.53","443","INFO","http/1.1","",""
"cipherlist_NULL","www.elections.interieur.gouv.fr/152.199.23.53","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.elections.interieur.gouv.fr/152.199.23.53","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.elections.interieur.gouv.fr/152.199.23.53","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.elections.interieur.gouv.fr/152.199.23.53","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.elections.interieur.gouv.fr/152.199.23.53","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","www.elections.interieur.gouv.fr/152.199.23.53","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","www.elections.interieur.gouv.fr/152.199.23.53","443","OK","offered","",""
"cipherlist_STRONG","www.elections.interieur.gouv.fr/152.199.23.53","443","OK","offered","",""
"cipherorder_TLSv1_2","www.elections.interieur.gouv.fr/152.199.23.53","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.elections.interieur.gouv.fr/152.199.23.53","443","OK","server","",""
"protocol_negotiated","www.elections.interieur.gouv.fr/152.199.23.53","443","OK","Default protocol TLS1.3","",""
