"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.ile-de-france.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","www.ile-de-france.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.ile-de-france.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","www.ile-de-france.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","www.ile-de-france.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","www.ile-de-france.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","www.ile-de-france.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","www.ile-de-france.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN_HTTP2","www.ile-de-france.gouv.fr/77.159.252.140","443","OK","h2","",""
"ALPN","www.ile-de-france.gouv.fr/77.159.252.140","443","INFO","http/1.1","",""
"cipherlist_NULL","www.ile-de-france.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.ile-de-france.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.ile-de-france.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.ile-de-france.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.ile-de-france.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.ile-de-france.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.ile-de-france.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.ile-de-france.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","www.ile-de-france.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","www.ile-de-france.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.ile-de-france.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","www.ile-de-france.gouv.fr/77.159.252.140","443","OK","offered","",""
