"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.securite-routiere.gouv.fr/77.159.252.145","443","DEBUG","Couldn't determine service, skipping all HTTP checks","",""
"pre_128cipher","www.securite-routiere.gouv.fr/77.159.252.145","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.securite-routiere.gouv.fr/77.159.252.145","443","OK","not offered","",""
"SSLv3","www.securite-routiere.gouv.fr/77.159.252.145","443","OK","not offered","",""
"TLS1","www.securite-routiere.gouv.fr/77.159.252.145","443","INFO","not offered","",""
"TLS1_1","www.securite-routiere.gouv.fr/77.159.252.145","443","INFO","not offered","",""
"TLS1_2","www.securite-routiere.gouv.fr/77.159.252.145","443","OK","offered","",""
"TLS1_3","www.securite-routiere.gouv.fr/77.159.252.145","443","OK","offered with final","",""
"ALPN","www.securite-routiere.gouv.fr/77.159.252.145","443","INFO","not offered","",""
"cipherlist_NULL","www.securite-routiere.gouv.fr/77.159.252.145","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.securite-routiere.gouv.fr/77.159.252.145","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.securite-routiere.gouv.fr/77.159.252.145","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.securite-routiere.gouv.fr/77.159.252.145","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.securite-routiere.gouv.fr/77.159.252.145","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.securite-routiere.gouv.fr/77.159.252.145","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.securite-routiere.gouv.fr/77.159.252.145","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.securite-routiere.gouv.fr/77.159.252.145","443","OK","offered","",""
"cipher_order-tls1_2","www.securite-routiere.gouv.fr/77.159.252.145","443","OK","server","",""
"cipherorder_TLSv1_2","www.securite-routiere.gouv.fr/77.159.252.145","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.securite-routiere.gouv.fr/77.159.252.145","443","OK","server","",""
"FS","www.securite-routiere.gouv.fr/77.159.252.145","443","OK","offered","",""
"FS_ciphers","www.securite-routiere.gouv.fr/77.159.252.145","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_KEMs","www.securite-routiere.gouv.fr/77.159.252.145","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","www.securite-routiere.gouv.fr/77.159.252.145","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.securite-routiere.gouv.fr/77.159.252.145","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.securite-routiere.gouv.fr/77.159.252.145","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.securite-routiere.gouv.fr/77.159.252.145","443","INFO","yes","",""
"sessionresumption_ticket","www.securite-routiere.gouv.fr/77.159.252.145","443","INFO","not supported","",""
"sessionresumption_ID","www.securite-routiere.gouv.fr/77.159.252.145","443","INFO","not supported","",""
"TLS_timestamp","www.securite-routiere.gouv.fr/77.159.252.145","443","INFO","random","",""
"certificate_compression","www.securite-routiere.gouv.fr/77.159.252.145","443","INFO","none","",""
"clientAuth","www.securite-routiere.gouv.fr/77.159.252.145","443","INFO","none","",""
"cert_numbers","www.securite-routiere.gouv.fr/77.159.252.145","443","INFO","1","",""
"cert_signatureAlgorithm","www.securite-routiere.gouv.fr/77.159.252.145","443","OK","SHA256 with RSA","",""
"cert_keySize","www.securite-routiere.gouv.fr/77.159.252.145","443","OK","RSA 4096 bits (exponent is 65537)","",""
"cert_keyUsage","www.securite-routiere.gouv.fr/77.159.252.145","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.securite-routiere.gouv.fr/77.159.252.145","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.securite-routiere.gouv.fr/77.159.252.145","443","INFO","1249EA298F66D987F89868E48619C01A","",""
"cert_serialNumberLen","www.securite-routiere.gouv.fr/77.159.252.145","443","INFO","16","",""
"cert_fingerprintSHA1","www.securite-routiere.gouv.fr/77.159.252.145","443","INFO","A79219CE660B47C29D0DBB14BFEFE985E886E659","",""
"cert_fingerprintSHA256","www.securite-routiere.gouv.fr/77.159.252.145","443","INFO","B73DCD6070DA76E5F9D34A72927F091802A2C1FAA977CD25020C89A9D5310911","",""
