"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.antai.gouv.fr/90.102.74.9","443","INFO","HTTP","",""
"pre_128cipher","www.antai.gouv.fr/90.102.74.9","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.antai.gouv.fr/90.102.74.9","443","OK","not offered","",""
"SSLv3","www.antai.gouv.fr/90.102.74.9","443","OK","not offered","",""
"TLS1","www.antai.gouv.fr/90.102.74.9","443","INFO","not offered","",""
"TLS1_1","www.antai.gouv.fr/90.102.74.9","443","INFO","not offered","",""
"TLS1_2","www.antai.gouv.fr/90.102.74.9","443","OK","offered","",""
"TLS1_3","www.antai.gouv.fr/90.102.74.9","443","OK","offered with final","",""
"ALPN","www.antai.gouv.fr/90.102.74.9","443","INFO","not offered","",""
"cipherlist_NULL","www.antai.gouv.fr/90.102.74.9","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.antai.gouv.fr/90.102.74.9","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.antai.gouv.fr/90.102.74.9","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.antai.gouv.fr/90.102.74.9","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.antai.gouv.fr/90.102.74.9","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.antai.gouv.fr/90.102.74.9","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.antai.gouv.fr/90.102.74.9","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.antai.gouv.fr/90.102.74.9","443","OK","offered","",""
"cipher_order-tls1_2","www.antai.gouv.fr/90.102.74.9","443","OK","server","",""
"cipherorder_TLSv1_2","www.antai.gouv.fr/90.102.74.9","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","www.antai.gouv.fr/90.102.74.9","443","OK","server","",""
"FS","www.antai.gouv.fr/90.102.74.9","443","OK","offered","",""
"FS_ciphers","www.antai.gouv.fr/90.102.74.9","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.antai.gouv.fr/90.102.74.9","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","www.antai.gouv.fr/90.102.74.9","443","INFO","'EC point formats/#11' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.antai.gouv.fr/90.102.74.9","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.antai.gouv.fr/90.102.74.9","443","INFO","yes","",""
"sessionresumption_ticket","www.antai.gouv.fr/90.102.74.9","443","INFO","not supported","",""
"sessionresumption_ID","www.antai.gouv.fr/90.102.74.9","443","INFO","supported","",""
"TLS_timestamp","www.antai.gouv.fr/90.102.74.9","443","INFO","random","",""
"certificate_compression","www.antai.gouv.fr/90.102.74.9","443","INFO","none","",""
"clientAuth","www.antai.gouv.fr/90.102.74.9","443","INFO","none","",""
"cert_numbers","www.antai.gouv.fr/90.102.74.9","443","INFO","1","",""
"cert_signatureAlgorithm","www.antai.gouv.fr/90.102.74.9","443","OK","SHA256 with RSA","",""
"cert_keySize","www.antai.gouv.fr/90.102.74.9","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.antai.gouv.fr/90.102.74.9","443","INFO","Digital Signature, Key Encipherment","",""
